"","time","provname","provpop"
"1","2020-02-02 14:22:00","北京",183
"2","2020-02-02 14:22:00","湖北",9074
"3","2020-02-02 14:22:00","广东",604
"4","2020-02-02 14:22:00","浙江",661
"5","2020-02-02 14:22:00","河南",493
"6","2020-02-02 14:22:00","湖南",463
"7","2020-02-02 14:22:00","重庆",262
"8","2020-02-02 14:22:00","安徽",340
"9","2020-02-02 14:22:00","四川",231
"10","2020-02-02 14:22:00","山东",225
"11","2020-02-02 14:22:00","吉林",23
"12","2020-02-02 14:22:00","福建",159
"13","2020-02-02 14:22:00","江西",333
"14","2020-02-02 14:22:00","江苏",236
"15","2020-02-02 14:22:00","上海",182
"16","2020-02-02 14:22:00","广西",111
"17","2020-02-02 14:22:00","海南",63
"18","2020-02-02 14:22:00","陕西",116
"19","2020-02-02 14:22:00","河北",104
"20","2020-02-02 14:22:00","黑龙江",95
"21","2020-02-02 14:22:00","辽宁",64
"22","2020-02-02 14:22:00","云南",99
"23","2020-02-02 14:22:00","天津",48
"24","2020-02-02 14:22:00","山西",56
"25","2020-02-02 14:22:00","甘肃",40
"26","2020-02-02 14:22:00","内蒙古",27
"27","2020-02-02 14:22:00","台湾",10
"28","2020-02-02 14:22:00","澳门",8
"29","2020-02-02 14:22:00","香港",14
"30","2020-02-02 14:22:00","贵州",38
"31","2020-02-02 14:22:00","西藏",1
"32","2020-02-02 14:22:00","青海",11
"33","2020-02-02 14:22:00","新疆",21
"34","2020-02-02 14:22:00","宁夏",28
