"","name","r0_low","r0_high"
"1","武汉",2.74,3.15
"2","黄冈",2.36,2.68
"3","孝感",2.39,2.71
"4","荆门",2.12,2.38
"5","咸宁",2.08,2.33
"6","荆州",2.21,2.49
"7","襄阳",2.2,2.48
"8","随州",2.22,2.5
"9","十堰",2.06,2.3
"10","鄂州",2.09,2.34
"11","黄石",2.15,2.41
"12","宜昌",2.14,2.4
"13","恩施州",1.89,2.09
"14","仙桃",2.01,2.24
"15","天门",1.9,2.1
"16","潜江",1.76,1.92
"17","神农架林区",1.43,1.52
"18","广州",2,2.22
"19","深圳",2.03,2.27
"20","佛山",1.72,1.88
"21","珠海",1.76,1.93
"22","惠州",1.65,1.79
"23","中山",1.68,1.82
"24","阳江",1.47,1.57
"25","东莞",1.7,1.85
"26","湛江",1.54,1.65
"27","汕头",1.55,1.67
"28","清远",1.43,1.52
"29","揭阳",1.37,1.45
"30","肇庆",1.48,1.58
"31","韶关",1.35,1.42
"32","梅州",1.46,1.55
"33","茂名",1.35,1.42
"34","河源",1.24,1.29
"35","汕尾",1.32,1.38
"36","江门",1.48,1.58
"37","潮州",1.32,1.38
"38","杭州",1.89,2.09
"39","宁波",1.87,2.06
"40","温州",2.07,2.32
"41","湖州",1.41,1.5
"42","嘉兴",1.63,1.77
"43","绍兴",1.63,1.76
"44","金华",1.68,1.83
"45","衢州",1.49,1.59
"46","舟山",1.37,1.45
"47","台州",1.86,2.05
"48","丽水",1.5,1.61
"49","郑州市",1.83,2.01
"50","开封市",1.54,1.65
"51","洛阳市",1.57,1.69
"52","平顶山市",1.68,1.82
"53","安阳市",1.65,1.79
"54","鹤壁市",1.44,1.53
"55","新乡市",1.66,1.8
"56","焦作市",1.52,1.63
"57","濮阳市",1.32,1.38
"58","许昌市",1.59,1.72
"59","漯河市",1.58,1.71
"60","三门峡市",1.37,1.45
"61","南阳市",1.84,2.03
"62","商丘市",1.75,1.92
"63","信阳市",1.91,2.12
"64","周口市",1.72,1.88
"65","驻马店市",1.82,2
"66","济源示范区",1.29,1.34
"67","长沙市",1.93,2.13
"68","衡阳市",1.67,1.81
"69","株洲市",1.68,1.82
"70","湘潭市",1.57,1.7
"71","邵阳市",1.78,1.95
"72","岳阳市",1.82,2
"73","常德市",1.73,1.89
"74","张家界市",1.32,1.38
"75","益阳市",1.67,1.81
"76","郴州市",1.6,1.73
"77","永州市",1.64,1.78
"78","怀化市",1.64,1.78
"79","娄底市",1.7,1.85
"80","湘西自治州",1.39,1.47
"81","阜阳",1.82,2
"82","合肥",1.84,2.02
"83","马鞍山",1.61,1.73
"84","芜湖",1.59,1.71
"85","铜陵",1.55,1.67
"86","安庆",1.74,1.9
"87","亳州",1.75,1.92
"88","黄山",1.41,1.5
"89","滁州",1.44,1.53
"90","六安",1.66,1.8
"91","宿州",1.59,1.71
"92","蚌埠",1.79,1.96
"93","淮南",1.48,1.58
"94","宣城",1.32,1.38
"95","淮北",1.55,1.67
"96","池州",1.44,1.53
"97","成都",1.81,1.99
"98","自贡",1.41,1.5
"99","攀枝花",1.44,1.53
"100","泸州",1.47,1.57
"101","德阳",1.46,1.55
"102","绵阳",1.53,1.64
"103","广元",1.35,1.42
"104","遂宁",1.32,1.38
"105","内江",1.51,1.62
"106","乐山",1.24,1.29
"107","南充",1.61,1.73
"108","宜宾",1.41,1.5
"109","广安",1.59,1.71
"110","达州",1.56,1.68
"111","巴中",1.54,1.65
"112","雅安",1.35,1.42
"113","眉山",1.32,1.38
"114","资阳",1.18,1.22
"115","阿坝州",1.08,1.1
"116","甘孜州",1.51,1.62
"117","凉山州",1.37,1.45
"118","济南",1.66,1.8
"119","青岛",1.67,1.81
"120","淄博",1.49,1.59
"121","枣庄",1.53,1.64
"122","烟台",1.63,1.76
"123","潍坊",1.59,1.71
"124","济宁",1.63,1.77
"125","泰安",1.54,1.65
"126","威海",1.61,1.74
"127","日照",1.48,1.58
"128","临沂",1.63,1.77
"129","德州",1.59,1.71
"130","聊城",1.54,1.65
"131","滨州",1.44,1.53
"132","菏泽",1.47,1.57
"133","长春",1.62,1.75
"134","四平",1.43,1.52
"135","吉林",1.32,1.38
"136","公主岭",1.29,1.34
"137","延边",1.32,1.38
"138","辽源",1.32,1.38
"139","松原",1.18,1.22
"140","通化",1.18,1.22
"141","福州",1.71,1.87
"142","莆田",1.67,1.81
"143","漳州",1.5,1.61
"144","泉州",1.65,1.79
"145","三明",1.46,1.55
"146","厦门",1.56,1.68
"147","南平",1.46,1.55
"148","龙岩",1.29,1.34
"149","宁德",1.5,1.61
"150","南昌",1.9,2.1
"151","赣州",1.72,1.88
"152","宜春",1.73,1.89
"153","九江",1.8,1.98
"154","抚州",1.71,1.86
"155","上饶",1.78,1.96
"156","新余",1.79,1.96
"157","吉安",1.5,1.61
"158","景德镇",1.29,1.34
"159","萍乡",1.57,1.69
"160","鹰潭",1.43,1.52
"161","南京",1.71,1.87
"162","无锡",1.61,1.74
"163","徐州",1.69,1.84
"164","常州",1.6,1.73
"165","苏州",1.75,1.91
"166","南通",1.6,1.73
"167","连云港",1.57,1.69
"168","淮安",1.64,1.78
"169","盐城",1.5,1.61
"170","扬州",1.51,1.62
"171","镇江",1.41,1.5
"172","泰州",1.6,1.73
"173","宿迁",1.46,1.55
"174","南宁",1.61,1.74
"175","柳州",1.54,1.65
"176","桂林",1.59,1.72
"177","北海",1.61,1.74
"178","河池",1.44,1.53
"179","防城港",1.49,1.59
"180","玉林",1.39,1.47
"181","梧州",1.32,1.38
"182","百色",1.24,1.29
"183","钦州",1.37,1.45
"184","贵港",1.37,1.45
"185","贺州",1.29,1.34
"186","来宾",1.18,1.22
"187","海口",1.55,1.66
"188","三亚",1.63,1.76
"189","儋州",1.44,1.53
"190","万宁",1.46,1.55
"191","琼海",1.35,1.42
"192","东方",1.24,1.29
"193","临高",1.32,1.38
"194","定安",1.24,1.29
"195","昌江",1.29,1.34
"196","澄迈",1.37,1.45
"197","陵水",1.29,1.34
"198","琼中",1.08,1.1
"199","乐东",1.08,1.1
"200","文昌",1.24,1.29
"201","保亭",1.18,1.22
"202","西安",1.77,1.94
"203","安康",1.55,1.66
"204","铜川",1.39,1.47
"205","咸阳",1.49,1.59
"206","汉中",1.55,1.66
"207","渭南",1.41,1.5
"208","宝鸡",1.46,1.55
"209","延安",1.37,1.45
"210","商洛",1.37,1.45
"211","榆林",1.18,1.22
"212","韩城",1.08,1.1
"213","杨凌示范区",1.08,1.1
"214","石家庄",1.57,1.69
"215","廊坊",1.49,1.59
"216","沧州",1.56,1.68
"217","邯郸",1.55,1.67
"218","保定",1.52,1.63
"219","邢台",1.54,1.65
"220","衡水",1.37,1.45
"221","承德",1.35,1.42
"222","唐山",1.53,1.64
"223","张家口",1.47,1.57
"224","秦皇岛",1.32,1.38
"225","哈尔滨",1.8,1.98
"226","齐齐哈尔",1.59,1.71
"227","牡丹江",1.44,1.53
"228","佳木斯",1.47,1.57
"229","大庆",1.47,1.57
"230","鸡西",1.6,1.73
"231","双鸭山",1.64,1.77
"232","七台河",1.43,1.52
"233","鹤岗",1.18,1.22
"234","绥化",1.65,1.79
"235","大兴安岭",1.18,1.22
"236","黑河",1.08,1.1
"237","伊春",NA,NA
"238","沈阳",1.57,1.7
"239","大连",1.48,1.58
"240","鞍山",1.24,1.29
"241","本溪",1.24,1.29
"242","丹东",1.37,1.45
"243","锦州",1.39,1.47
"244","营口",1.08,1.1
"245","阜新",1.37,1.45
"246","辽阳",1.18,1.22
"247","铁岭",1.24,1.29
"248","朝阳",1.35,1.42
"249","盘锦",1.44,1.53
"250","葫芦岛",1.41,1.5
"251","昆明",1.66,1.8
"252","临沧",1.08,1.1
"253","文山州",1.08,1.1
"254","丽江",1.37,1.45
"255","保山",1.41,1.5
"256","德宏州",1.32,1.38
"257","西双版纳",1.49,1.59
"258","曲靖",1.44,1.53
"259","玉溪",1.48,1.58
"260","红河州",1.32,1.38
"261","大理州",1.44,1.53
"262","昭通",1.43,1.52
"263","普洱",1.29,1.34
"264","楚雄州",1.29,1.34
"265","太原",1.44,1.53
"266","晋城",1.39,1.47
"267","朔州",1.29,1.34
"268","晋中",1.59,1.71
"269","运城",1.51,1.62
"270","忻州",1.24,1.29
"271","阳泉",1.29,1.34
"272","大同",1.41,1.5
"273","长治",1.32,1.38
"274","临汾",1.18,1.22
"275","吕梁",1.35,1.42
"276","张掖",1.18,1.22
"277","庆阳",1.18,1.22
"278","陇南",1.29,1.34
"279","金昌",1.08,1.1
"280","天水",1.43,1.52
"281","平凉",1.18,1.22
"282","甘南",1.24,1.29
"283","兰州",1.62,1.75
"284","临夏",1.24,1.29
"285","定西",1.37,1.45
"286","白银",1.29,1.34
"287","呼和浩特",1.37,1.45
"288","包头",1.41,1.5
"289","呼伦贝尔",1.32,1.38
"290","兴安盟",1.08,1.1
"291","通辽",1.18,1.22
"292","赤峰",1.29,1.34
"293","锡林郭勒",1.18,1.22
"294","鄂尔多斯",1.44,1.53
"295","巴彦淖尔",1.29,1.34
"296","乌兰察布",1.24,1.29
"297","乌海",1.18,1.22
"298","贵阳",1.52,1.63
"299","遵义",1.46,1.55
"300","六盘水",1.41,1.5
"301","安顺",1.29,1.34
"302","毕节",1.51,1.62
"303","铜仁",1.35,1.42
"304","黔南州",1.37,1.45
"305","黔西南州",1.24,1.29
"306","黔东南州",1.32,1.38
"307","拉萨",1.08,1.1
"308","西宁",1.49,1.59
"309","海北州",1.24,1.29
"310","乌鲁木齐",1.52,1.63
"311","伊犁州",1.41,1.5
"312","吐鲁番",1.08,1.1
"313","阿克苏",1.08,1.1
"314","昌吉",1.18,1.22
"315","第七师",1.08,1.1
"316","石河子",1.08,1.1
"317","第九师",1.29,1.34
"318","五家渠市",1.08,1.1
"319","巴州",1.08,1.1
"320","银川",1.59,1.71
"321","吴忠",1.41,1.5
"322","石嘴山",1.08,1.1
"323","固原",1.18,1.22
"324","中卫",1.24,1.29
"325","宁东",1.08,1.1
"326","北京",2.01,2.23
"327","上海",1.99,2.22
"328","天津",1.77,1.94
"329","重庆",2.07,2.31
"330","香港",1.57,1.7
"331","澳门",1.43,1.52
"332","台湾",1.5,1.61
