"","time","provname","city","citypop","deathpop","curepop"
"1","2020-02-25 07:36:00","湖北","武汉",46607,1987,8964
"2","2020-02-25 07:36:00","湖北","黄冈",2904,103,1659
"3","2020-02-25 07:36:00","湖北","孝感",3465,108,1177
"4","2020-02-25 07:36:00","湖北","荆门",920,37,389
"5","2020-02-25 07:36:00","湖北","咸宁",836,11,445
"6","2020-02-25 07:36:00","湖北","荆州",1574,42,734
"7","2020-02-25 07:36:00","湖北","襄阳",1174,29,521
"8","2020-02-25 07:36:00","湖北","随州",1303,33,551
"9","2020-02-25 07:36:00","湖北","十堰",669,2,293
"10","2020-02-25 07:36:00","湖北","鄂州",1383,40,472
"11","2020-02-25 07:36:00","湖北","黄石",1005,30,491
"12","2020-02-25 07:36:00","湖北","宜昌",924,29,304
"13","2020-02-25 07:36:00","湖北","恩施州",251,4,146
"14","2020-02-25 07:36:00","湖北","仙桃",573,19,268
"15","2020-02-25 07:36:00","湖北","天门",494,13,258
"16","2020-02-25 07:36:00","湖北","潜江",194,8,82
"17","2020-02-25 07:36:00","湖北","神农架林区",11,0,10
"18","2020-02-25 07:36:00","广东","深圳",417,3,249
"19","2020-02-25 07:36:00","广东","广州",345,0,204
"20","2020-02-25 07:36:00","广东","珠海",98,1,54
"21","2020-02-25 07:36:00","广东","佛山",84,0,36
"22","2020-02-25 07:36:00","广东","东莞",96,1,40
"23","2020-02-25 07:36:00","广东","中山",66,0,51
"24","2020-02-25 07:36:00","广东","惠州",62,0,46
"25","2020-02-25 07:36:00","广东","汕头",25,0,21
"26","2020-02-25 07:36:00","广东","江门",23,0,10
"27","2020-02-25 07:36:00","广东","湛江",22,0,14
"28","2020-02-25 07:36:00","广东","肇庆",19,1,10
"29","2020-02-25 07:36:00","广东","梅州",16,0,11
"30","2020-02-25 07:36:00","广东","阳江",14,0,10
"31","2020-02-25 07:36:00","广东","茂名",14,0,7
"32","2020-02-25 07:36:00","广东","清远",12,0,12
"33","2020-02-25 07:36:00","广东","揭阳",8,0,5
"34","2020-02-25 07:36:00","广东","韶关",10,0,6
"35","2020-02-25 07:36:00","广东","汕尾",5,0,2
"36","2020-02-25 07:36:00","广东","潮州",5,0,4
"37","2020-02-25 07:36:00","广东","河源",4,0,1
"38","2020-02-25 07:36:00","浙江","杭州",169,0,131
"39","2020-02-25 07:36:00","浙江","宁波",157,0,114
"40","2020-02-25 07:36:00","浙江","温州",504,1,306
"41","2020-02-25 07:36:00","浙江","湖州",10,0,7
"42","2020-02-25 07:36:00","浙江","嘉兴",45,0,28
"43","2020-02-25 07:36:00","浙江","绍兴",42,0,30
"44","2020-02-25 07:36:00","浙江","金华",55,0,39
"45","2020-02-25 07:36:00","浙江","衢州",14,0,10
"46","2020-02-25 07:36:00","浙江","舟山",10,0,5
"47","2020-02-25 07:36:00","浙江","台州",146,0,98
"48","2020-02-25 07:36:00","浙江","丽水",17,0,14
"49","2020-02-25 07:36:00","浙江","省十里丰监狱",36,0,0
"50","2020-02-25 07:36:00","河南","信阳市",274,2,179
"51","2020-02-25 07:36:00","河南","南阳市",155,3,124
"52","2020-02-25 07:36:00","河南","郑州市",157,0,118
"53","2020-02-25 07:36:00","河南","驻马店市",139,0,121
"54","2020-02-25 07:36:00","河南","商丘市",91,3,75
"55","2020-02-25 07:36:00","河南","周口市",76,0,51
"56","2020-02-25 07:36:00","河南","平顶山市",58,1,43
"57","2020-02-25 07:36:00","河南","新乡市",57,3,48
"58","2020-02-25 07:36:00","河南","安阳市",53,0,41
"59","2020-02-25 07:36:00","河南","许昌市",39,0,32
"60","2020-02-25 07:36:00","河南","漯河市",35,0,23
"61","2020-02-25 07:36:00","河南","焦作市",32,1,24
"62","2020-02-25 07:36:00","河南","洛阳市",31,1,20
"63","2020-02-25 07:36:00","河南","开封市",26,0,16
"64","2020-02-25 07:36:00","河南","鹤壁市",19,0,11
"65","2020-02-25 07:36:00","河南","濮阳市",17,0,10
"66","2020-02-25 07:36:00","河南","三门峡市",7,1,6
"67","2020-02-25 07:36:00","河南","济源示范区",5,0,3
"68","2020-02-25 07:36:00","湖南","长沙市",242,2,143
"69","2020-02-25 07:36:00","湖南","衡阳市",48,0,37
"70","2020-02-25 07:36:00","湖南","株洲市",80,0,52
"71","2020-02-25 07:36:00","湖南","湘潭市",36,0,25
"72","2020-02-25 07:36:00","湖南","邵阳市",102,1,88
"73","2020-02-25 07:36:00","湖南","岳阳市",156,1,91
"74","2020-02-25 07:36:00","湖南","常德市",82,0,62
"75","2020-02-25 07:36:00","湖南","张家界市",5,0,5
"76","2020-02-25 07:36:00","湖南","益阳市",59,0,55
"77","2020-02-25 07:36:00","湖南","郴州市",39,0,31
"78","2020-02-25 07:36:00","湖南","永州市",43,0,41
"79","2020-02-25 07:36:00","湖南","怀化市",40,0,38
"80","2020-02-25 07:36:00","湖南","娄底市",76,0,55
"81","2020-02-25 07:36:00","湖南","湘西自治州",8,0,8
"82","2020-02-25 07:36:00","安徽","阜阳",155,0,104
"83","2020-02-25 07:36:00","安徽","合肥",174,1,103
"84","2020-02-25 07:36:00","安徽","马鞍山",38,0,19
"85","2020-02-25 07:36:00","安徽","芜湖",33,0,27
"86","2020-02-25 07:36:00","安徽","铜陵",29,0,18
"87","2020-02-25 07:36:00","安徽","安庆",83,0,69
"88","2020-02-25 07:36:00","安徽","亳州",108,0,81
"89","2020-02-25 07:36:00","安徽","黄山",9,0,6
"90","2020-02-25 07:36:00","安徽","滁州",13,0,9
"91","2020-02-25 07:36:00","安徽","六安",69,0,44
"92","2020-02-25 07:36:00","安徽","宿州",41,0,29
"93","2020-02-25 07:36:00","安徽","蚌埠",160,5,107
"94","2020-02-25 07:36:00","安徽","淮南",27,0,15
"95","2020-02-25 07:36:00","安徽","宣城",6,0,4
"96","2020-02-25 07:36:00","安徽","淮北",27,0,17
"97","2020-02-25 07:36:00","安徽","池州",17,0,11
"98","2020-02-25 07:36:00","四川","成都",143,3,78
"99","2020-02-25 07:36:00","四川","自贡",9,0,7
"100","2020-02-25 07:36:00","四川","攀枝花",16,0,16
"101","2020-02-25 07:36:00","四川","泸州",24,0,10
"102","2020-02-25 07:36:00","四川","德阳",18,0,7
"103","2020-02-25 07:36:00","四川","绵阳",22,0,12
"104","2020-02-25 07:36:00","四川","广元",6,0,6
"105","2020-02-25 07:36:00","四川","遂宁",17,0,10
"106","2020-02-25 07:36:00","四川","内江",22,0,13
"107","2020-02-25 07:36:00","四川","乐山",3,0,3
"108","2020-02-25 07:36:00","四川","南充",39,0,22
"109","2020-02-25 07:36:00","四川","宜宾",12,0,8
"110","2020-02-25 07:36:00","四川","广安",30,0,20
"111","2020-02-25 07:36:00","四川","达州",41,0,15
"112","2020-02-25 07:36:00","四川","巴中",24,0,10
"113","2020-02-25 07:36:00","四川","雅安",7,0,4
"114","2020-02-25 07:36:00","四川","眉山",8,0,6
"115","2020-02-25 07:36:00","四川","资阳",3,0,2
"116","2020-02-25 07:36:00","四川","阿坝州",1,0,1
"117","2020-02-25 07:36:00","四川","甘孜州",69,0,18
"118","2020-02-25 07:36:00","四川","凉山州",13,0,8
"119","2020-02-25 07:36:00","山东","济南",47,0,24
"120","2020-02-25 07:36:00","山东","青岛",60,1,38
"121","2020-02-25 07:36:00","山东","淄博",30,1,16
"122","2020-02-25 07:36:00","山东","枣庄",24,0,19
"123","2020-02-25 07:36:00","山东","烟台",47,0,20
"124","2020-02-25 07:36:00","山东","潍坊",44,0,22
"125","2020-02-25 07:36:00","山东","济宁",257,0,34
"126","2020-02-25 07:36:00","山东","泰安",35,1,22
"127","2020-02-25 07:36:00","山东","威海",38,0,25
"128","2020-02-25 07:36:00","山东","日照",16,0,11
"129","2020-02-25 07:36:00","山东","临沂",49,0,44
"130","2020-02-25 07:36:00","山东","德州",37,2,15
"131","2020-02-25 07:36:00","山东","聊城",38,0,25
"132","2020-02-25 07:36:00","山东","滨州",15,0,11
"133","2020-02-25 07:36:00","山东","菏泽",18,0,17
"134","2020-02-25 07:36:00","吉林","长春",45,0,32
"135","2020-02-25 07:36:00","吉林","四平",15,1,9
"136","2020-02-25 07:36:00","吉林","吉林",5,0,5
"137","2020-02-25 07:36:00","吉林","公主岭",6,0,3
"138","2020-02-25 07:36:00","吉林","白城",1,0,0
"139","2020-02-25 07:36:00","吉林","延边",5,0,5
"140","2020-02-25 07:36:00","吉林","辽源",7,0,1
"141","2020-02-25 07:36:00","吉林","松原",2,0,2
"142","2020-02-25 07:36:00","吉林","通化",6,0,2
"143","2020-02-25 07:36:00","吉林","梅河口",1,0,1
"144","2020-02-25 07:36:00","福建","福州",71,1,56
"145","2020-02-25 07:36:00","福建","莆田",55,0,30
"146","2020-02-25 07:36:00","福建","漳州",20,0,14
"147","2020-02-25 07:36:00","福建","泉州",46,0,21
"148","2020-02-25 07:36:00","福建","三明",14,0,5
"149","2020-02-25 07:36:00","福建","厦门",35,0,23
"150","2020-02-25 07:36:00","福建","南平",20,0,10
"151","2020-02-25 07:36:00","福建","龙岩",6,0,4
"152","2020-02-25 07:36:00","福建","宁德",26,0,20
"153","2020-02-25 07:36:00","江西","南昌",229,0,181
"154","2020-02-25 07:36:00","江西","赣州",76,1,49
"155","2020-02-25 07:36:00","江西","宜春",106,0,76
"156","2020-02-25 07:36:00","江西","九江",118,0,57
"157","2020-02-25 07:36:00","江西","抚州",72,0,51
"158","2020-02-25 07:36:00","江西","上饶",123,0,90
