"","time","provname","provpop","deathpop","curepop"
"1","2020-03-04 04:01:00","北京",414,8,288
"2","2020-03-04 04:01:00","湖北",67217,2835,36208
"3","2020-03-04 04:01:00","广东",1350,7,1101
"4","2020-03-04 04:01:00","浙江",1213,1,1105
"5","2020-03-04 04:01:00","河南",1272,22,1231
"6","2020-03-04 04:01:00","湖南",1018,4,906
"7","2020-03-04 04:01:00","重庆",576,6,469
"8","2020-03-04 04:01:00","安徽",990,6,941
"9","2020-03-04 04:01:00","四川",538,3,394
"10","2020-03-04 04:01:00","山东",758,6,511
"11","2020-03-04 04:01:00","吉林",93,1,83
"12","2020-03-04 04:01:00","福建",296,1,260
"13","2020-03-04 04:01:00","江西",935,1,870
"14","2020-03-04 04:01:00","江苏",631,0,562
"15","2020-03-04 04:01:00","上海",338,3,294
"16","2020-03-04 04:01:00","广西",252,2,202
"17","2020-03-04 04:01:00","海南",168,5,152
"18","2020-03-04 04:01:00","陕西",245,1,216
"19","2020-03-04 04:01:00","河北",318,6,300
"20","2020-03-04 04:01:00","黑龙江",480,13,366
"21","2020-03-04 04:01:00","辽宁",125,1,106
"22","2020-03-04 04:01:00","云南",174,2,169
"23","2020-03-04 04:01:00","天津",136,3,124
"24","2020-03-04 04:01:00","山西",133,0,120
"25","2020-03-04 04:01:00","甘肃",91,2,86
"26","2020-03-04 04:01:00","内蒙古",75,1,59
"27","2020-03-04 04:01:00","台湾",42,1,12
"28","2020-03-04 04:01:00","澳门",10,0,9
"29","2020-03-04 04:01:00","香港",100,2,37
"30","2020-03-04 04:01:00","贵州",146,2,114
"31","2020-03-04 04:01:00","西藏",1,0,1
"32","2020-03-04 04:01:00","青海",18,0,18
"33","2020-03-04 04:01:00","新疆",76,3,68
"34","2020-03-04 04:01:00","宁夏",74,0,69
