,provname,city,totalpop
81,安徽,阜阳,820.7
82,安徽,合肥,808.7
83,安徽,马鞍山,233.7
84,安徽,芜湖,374.8
85,安徽,铜陵,162.9
86,安徽,安庆,469.1
87,安徽,亳州,523.7
88,安徽,黄山,140.7
89,安徽,滁州,411.4
90,安徽,六安,483.7
91,安徽,宿州,568.1
92,安徽,蚌埠,339.2
93,安徽,淮南,349
94,安徽,宣城,264.8
95,安徽,淮北,225.4
96,安徽,池州,147.4
330,澳门,澳门, 63.2
325,北京,北京, 2154.2
141,福建,福州,774
142,福建,莆田,290
143,福建,漳州,514
144,福建,泉州,870
145,福建,三明,258
146,福建,厦门,411
147,福建,南平,269
148,福建,龙岩,264
149,福建,宁德,291
275,甘肃,张掖, 122.93
276,甘肃,庆阳, 200.55
277,甘肃,陇南, 287.42
278,甘肃,金昌, 46.92
279,甘肃,天水, 333.98
280,甘肃,平凉, 211.28
281,甘肃,甘南, 74.23
282,甘肃,兰州, 372.96
283,甘肃,临夏, 204.41
284,甘肃,定西, 280.84
285,甘肃,白银, 172.93
18,广东,广州, 1449.84
19,广东,深圳, 1252.83
20,广东,佛山, 765.67
21,广东,珠海, 176.54
22,广东,惠州, 477.70
23,广东,中山, 326
24,广东,阳江, 254.29
25,广东,东莞, 834.25
26,广东,湛江, 730.5
27,广东,汕头, 560.82
28,广东,清远, 386.0
29,广东,揭阳, 608.6
30,广东,肇庆, 411.54
31,广东,韶关, 297.92
32,广东,梅州, 437.43
33,广东,茂名, 620.41
34,广东,河源, 309.11
35,广东,汕尾, 305.33
36,广东,江门, 456.17
37,广东,潮州, 265.08
174,广西,南宁, 715.33
175,广西,柳州, 400.00
176,广西,桂林, 505.75
177,广西,北海, 166.33
178,广西,河池, 352.35
179,广西,防城港, 94.02
180,广西,玉林, 581.08
181,广西,梧州, 303.7
182,广西,百色, 364.65
183,广西,钦州, 328
184,广西,贵港, 437.54
185,广西,贺州, 205.67
186,广西,来宾, 221.86
297,贵州,贵阳, 480.20
298,贵州,遵义, 624.83
299,贵州,六盘水, 292.41
300,贵州,安顺, 234.44
301,贵州,毕节, 665.97
302,贵州,铜仁, 315.69
303,贵州,黔南, 327.1
304,贵州,黔西南, 286
305,贵州,黔东南, 352.37
187,海南,海口, 227.21
188,海南,三亚, 76.42
189,海南,儋州, 90.57
190,海南,万宁,#N/A
191,海南,琼海,#N/A
192,海南,东方,#N/A
193,海南,临高,#N/A
194,海南,定安,#N/A
195,海南,昌江,#N/A
196,海南,澄迈,#N/A
197,海南,陵水,#N/A
198,海南,琼中,#N/A
199,海南,乐东,#N/A
200,海南,文昌,#N/A
201,海南,保亭县,#N/A
214,河北,石家庄, 1087.99
215,河北,廊坊, 467.8
216,河北,沧州, 755.49
217,河北,邯郸, 951.11
218,河北,保定, 1046.92
219,河北,邢台, 735.16
220,河北,衡水, 446.04
221,河北,承德, 356.50
222,河北,唐山, 789.7
223,河北,张家口, 443.3
224,河北,秦皇岛,311.1
49,河南,郑州,1013.6
50,河南,开封,456.5
51,河南,洛阳,688.9
52,河南,平顶山,520.8
53,河南,安阳,517.6
54,河南,鹤壁,162.7
55,河南,新乡,579.4
56,河南,焦作,359.1
57,河南,濮阳,360.9
58,河南,许昌,443.7
59,河南,漯河,266.5
60,河南,三门峡,227.3
61,河南,南阳,1001.4
62,河南,商丘,732.5
63,河南,信阳,647.4
64,河南,周口,867.8
65,河南,驻马店,619
66,河南,济源示范区,#N/A
225,黑龙江,哈尔滨, 955.0
226,黑龙江,齐齐哈尔, 533.7
227,黑龙江,牡丹江, 254.8
228,黑龙江,佳木斯, 234.5
229,黑龙江,大庆, 273.1
230,黑龙江,鸡西, 175
231,黑龙江,双鸭山, 142.3
232,黑龙江,七台河, 78.6
233,黑龙江,鹤岗, 100.9
234,黑龙江,绥化, 527.6
235,黑龙江,大兴安岭,#N/A
236,黑龙江,黑河, 160.5
1,湖北,武汉, 1089.29
2,湖北,黄冈, 634.1
3,湖北,孝感, 491.50
4,湖北,荆门, 290.15
5,湖北,咸宁, 253.51
6,湖北,荆州, 564.17
7,湖北,襄阳, 565.4
8,湖北,随州, 221.05
9,湖北,十堰, 341.8
10,湖北,鄂州, 107.69
11,湖北,黄石, 247.05
12,湖北,宜昌, 413.56
13,湖北,恩施, 336.10
14,湖北,仙桃, 154.45
15,湖北,天门, 128.35
16,湖北,潜江,0
17,湖北,神农架林区, 7.68
67,湖南,长沙,815.5
68,湖南,衡阳,724.3
69,湖南,株洲,402.1
70,湖南,湘潭,286.5
71,湖南,邵阳,737.1
72,湖南,岳阳,579.7
73,湖南,常德,582.7
74,湖南,张家界,153.8
75,湖南,益阳,441.4
76,湖南,郴州,474.5
77,湖南,永州,545.2
78,湖南,怀化,498
79,湖南,娄底,393.2
80,湖南,湘西自治州,#N/A
133,吉林,长春, 748.9
134,吉林,四平, 320.4
135,吉林,吉林, 415.35
136,吉林,公主岭,#N/A
137,吉林,延边,#N/A
138,吉林,辽源, 117.94
139,吉林,松原, 275.41
140,吉林,通化, 217.15
161,江苏,南京,843.6
162,江苏,无锡,657.5
163,江苏,徐州,880.2
164,江苏,常州,472.9
165,江苏,苏州,1072.2
166,江苏,南通,731
167,江苏,连云港,452
168,江苏,淮安,492.5
169,江苏,盐城,7200
170,江苏,扬州,453.1
171,江苏,镇江,319.6
172,江苏,泰州,463.6
173,江苏,宿迁,492.6
150,江西,南昌, 546.35
151,江西,赣州, 861.2
152,江西,宜春, 555.37
153,江西,九江, 487.33
154,江西,抚州, 403.10
155,江西,上饶, 678.34
156,江西,新余, 118.07
157,江西,吉安, 494.19
158,江西,景德镇, 166.49
159,江西,萍乡, 192.50
160,江西,鹰潭, 116.75
237,辽宁,沈阳, 829.4
238,辽宁,大连, 698.75
239,辽宁,鞍山, 344.0
240,辽宁,本溪, 147.63
241,辽宁,丹东, 239.5
242,辽宁,锦州, 296.4
243,辽宁,营口, 243.8
244,辽宁,阜新, 186.2
245,辽宁,辽阳, 183.7
246,辽宁,铁岭, 299.8
247,辽宁,朝阳, 295
248,辽宁,盘锦, 143.65
249,辽宁,葫芦岛, 277.0
286,内蒙古,呼和浩特, 311.5
287,内蒙古,包头, 287.8
288,内蒙古,呼伦贝尔, 252.92
289,内蒙古,兴安盟, 160.42
290,内蒙古,通辽, 312.87
291,内蒙古,赤峰, 431.5
292,内蒙古,锡林郭勒,#N/A
293,内蒙古,鄂尔多斯, 206.87
294,内蒙古,巴彦淖尔, 168.5
295,内蒙古,乌兰察布, 210.25
296,内蒙古,乌海, 56.11
319,宁夏,银川, 222.54
320,宁夏,吴忠, 140.37
321,宁夏,石嘴山, 80.29
322,宁夏,固原, 122.82
323,宁夏,中卫, 115.75
324,宁夏,宁东,#N/A
307,青海,西宁, 235.50
308,青海,海北州,#N/A
118,山东,济南,746
119,山东,青岛,939.5
120,山东,淄博,470.2
121,山东,枣庄,392.7
122,山东,烟台,712.2
123,山东,潍坊,937.3
124,山东,济宁,834.6
125,山东,泰安,564
126,山东,威海,283
127,山东,日照,293
128,山东,临沂,1062.4
129,山东,德州,581
130,山东,聊城,606.4
131,山东,滨州,392.3
132,山东,菏泽,876.5
264,山西,太原,442.2
265,山西,晋城,234.3
266,山西,朔州,178.1
267,山西,晋中,338.2
268,山西,运城,536
269,山西,忻州,317.2
270,山西,阳泉,141.4
271,山西,大同,345.6
272,山西,长治,346.8
273,山西,临汾,450
274,山西,吕梁,388.6
202,陕西,西安, 953.44
203,陕西,安康, 266.1
204,陕西,铜川, 83.34
205,陕西,咸阳, 437.6
206,陕西,汉中, 344.93
207,陕西,渭南, 538.29
208,陕西,宝鸡, 378.10
209,陕西,延安, 226.31
210,陕西,商洛, 238.13
211,陕西,榆林, 340.33
212,陕西,韩城,#N/A
213,陕西,杨凌示范区, 20.64
326,上海,上海, 2423.78
97,四川,成都, 1604.5
98,四川,自贡, 290.14
99,四川,攀枝花, 123.61
100,四川,泸州, 431.72
101,四川,德阳, 353.2
102,四川,绵阳, 483.56
103,四川,广元, 266.00
104,四川,遂宁, 323.59
105,四川,内江,375.4
106,四川,乐山, 327.21
107,四川,南充, 641.79
108,四川,宜宾, 453
109,四川,广安, 325.0
110,四川,达州,569
111,四川,巴中, 331.67
112,四川,雅安, 153.78
113,四川,眉山, 297.48
114,四川,资阳,255.3
115,四川,阿坝州,#N/A
116,四川,甘孜州,#N/A
117,四川,凉山州,#N/A
331,台湾,台湾, 2369
327,天津,天津,1559.6
306,西藏,拉萨,#N/A
329,香港,香港, 748.25
309,新疆,乌鲁木齐, 222.61
310,新疆,伊犁, 461.71
311,新疆,吐鲁番, 63.73
312,新疆,阿克苏, 254.6
313,新疆,昌吉, 161
314,新疆,第七师,#N/A
315,新疆,石河子,#N/A
316,新疆,第九师,#N/A
317,新疆,五家渠,#N/A
318,新疆,巴州,#N/A
250,云南,昆明, 678.3
251,云南,临沧, 252.60
252,云南,文山, 363.6
253,云南,丽江, 129.0
254,云南,保山, 261.4
255,云南,德宏, 130.90
256,云南,西双版纳, 118.0
257,云南,曲靖, 612.2
258,云南,玉溪, 238.1
259,云南,红河, 471.3
260,云南,大理, 361.88
261,云南,昭通, 553.7
262,云南,普洱, 262.7
263,云南,楚雄, 274.40
38,浙江,杭州,980.6
39,浙江,宁波,820.2
40,浙江,温州,925
41,浙江,湖州,301.1
42,浙江,嘉兴,472.6
43,浙江,绍兴,503.5
44,浙江,金华,560.4
45,浙江,衢州,220.9
46,浙江,舟山,117.3
47,浙江,台州,613.9
48,浙江,丽水,219.3
328,重庆,重庆, 3101.79
