"","time","provname","city","citypop"
"1","2020-02-01 01:00:00","北京","海淀区",27
"2","2020-02-01 01:00:00","北京","怀柔区",1
"3","2020-02-01 01:00:00","北京","丰台区",11
"4","2020-02-01 01:00:00","北京","大兴区",17
"5","2020-02-01 01:00:00","北京","东城区",3
"6","2020-02-01 01:00:00","北京","昌平区",12
"7","2020-02-01 01:00:00","北京","西城区",16
"8","2020-02-01 01:00:00","北京","朝阳区",24
"9","2020-02-01 01:00:00","北京","石景山区",2
"10","2020-02-01 01:00:00","北京","通州区",12
"11","2020-02-01 01:00:00","北京","顺义区",2
"12","2020-02-01 01:00:00","北京","门头沟区",1
"13","2020-02-01 01:00:00","北京","外来来京人员",11
"14","2020-02-01 01:00:00","湖北","武汉",2639
"15","2020-02-01 01:00:00","湖北","黄冈",573
"16","2020-02-01 01:00:00","湖北","孝感",541
"17","2020-02-01 01:00:00","湖北","荆门",227
"18","2020-02-01 01:00:00","湖北","咸宁",166
"19","2020-02-01 01:00:00","湖北","荆州",221
"20","2020-02-01 01:00:00","湖北","襄阳",286
"21","2020-02-01 01:00:00","湖北","随州",228
"22","2020-02-01 01:00:00","湖北","十堰",150
"23","2020-02-01 01:00:00","湖北","鄂州",189
"24","2020-02-01 01:00:00","湖北","黄石",168
"25","2020-02-01 01:00:00","湖北","宜昌",167
"26","2020-02-01 01:00:00","湖北","恩施州",75
"27","2020-02-01 01:00:00","湖北","仙桃",90
"28","2020-02-01 01:00:00","湖北","天门",67
"29","2020-02-01 01:00:00","湖北","潜江",12
"30","2020-02-01 01:00:00","湖北","神农架林区",7
"31","2020-02-01 01:00:00","广东","广州",112
"32","2020-02-01 01:00:00","广东","深圳",134
"33","2020-02-01 01:00:00","广东","佛山",33
"34","2020-02-01 01:00:00","广东","珠海",34
"35","2020-02-01 01:00:00","广东","惠州",20
"36","2020-02-01 01:00:00","广东","中山",18
"37","2020-02-01 01:00:00","广东","阳江",10
"38","2020-02-01 01:00:00","广东","东莞",16
"39","2020-02-01 01:00:00","广东","湛江",11
"40","2020-02-01 01:00:00","广东","汕头",12
"41","2020-02-01 01:00:00","广东","清远",6
"42","2020-02-01 01:00:00","广东","揭阳",6
"43","2020-02-01 01:00:00","广东","肇庆",6
"44","2020-02-01 01:00:00","广东","韶关",4
"45","2020-02-01 01:00:00","广东","梅州",5
"46","2020-02-01 01:00:00","广东","茂名",3
"47","2020-02-01 01:00:00","广东","河源",1
"48","2020-02-01 01:00:00","广东","汕尾",3
"49","2020-02-01 01:00:00","广东","江门",2
"50","2020-02-01 01:00:00","浙江","杭州",85
"51","2020-02-01 01:00:00","浙江","宁波",46
"52","2020-02-01 01:00:00","浙江","温州",227
"53","2020-02-01 01:00:00","浙江","湖州",6
"54","2020-02-01 01:00:00","浙江","嘉兴",16
"55","2020-02-01 01:00:00","浙江","绍兴",23
"56","2020-02-01 01:00:00","浙江","金华",27
"57","2020-02-01 01:00:00","浙江","衢州",12
"58","2020-02-01 01:00:00","浙江","舟山",7
"59","2020-02-01 01:00:00","浙江","台州",81
"60","2020-02-01 01:00:00","浙江","丽水",7
"61","2020-02-01 01:00:00","河南","郑州市",50
"62","2020-02-01 01:00:00","河南","开封市",6
"63","2020-02-01 01:00:00","河南","洛阳市",3
"64","2020-02-01 01:00:00","河南","平顶山市",10
"65","2020-02-01 01:00:00","河南","安阳市",21
"66","2020-02-01 01:00:00","河南","鹤壁市",6
"67","2020-02-01 01:00:00","河南","新乡市",17
"68","2020-02-01 01:00:00","河南","焦作市",2
"69","2020-02-01 01:00:00","河南","濮阳市",3
"70","2020-02-01 01:00:00","河南","许昌市",8
"71","2020-02-01 01:00:00","河南","漯河市",13
"72","2020-02-01 01:00:00","河南","三门峡市",6
"73","2020-02-01 01:00:00","河南","南阳市",61
"74","2020-02-01 01:00:00","河南","商丘市",31
"75","2020-02-01 01:00:00","河南","周口市",36
"76","2020-02-01 01:00:00","河南","信阳市",49
"77","2020-02-01 01:00:00","河南","驻马店市",30
"78","2020-02-01 01:00:00","湖南","长沙市",68
"79","2020-02-01 01:00:00","湖南","衡阳市",25
"80","2020-02-01 01:00:00","湖南","株洲市",19
"81","2020-02-01 01:00:00","湖南","湘潭市",10
"82","2020-02-01 01:00:00","湖南","邵阳市",36
"83","2020-02-01 01:00:00","湖南","岳阳市",37
"84","2020-02-01 01:00:00","湖南","常德市",37
"85","2020-02-01 01:00:00","湖南","张家界市",1
"86","2020-02-01 01:00:00","湖南","益阳市",20
"87","2020-02-01 01:00:00","湖南","郴州市",12
"88","2020-02-01 01:00:00","湖南","永州市",16
"89","2020-02-01 01:00:00","湖南","怀化市",26
"90","2020-02-01 01:00:00","湖南","娄底市",20
"91","2020-02-01 01:00:00","湖南","湘西自治州",5
"92","2020-02-01 01:00:00","重庆","长寿",9
"93","2020-02-01 01:00:00","重庆","武隆",1
"94","2020-02-01 01:00:00","重庆","万州",29
"95","2020-02-01 01:00:00","重庆","江津",3
"96","2020-02-01 01:00:00","重庆","涪陵",1
"97","2020-02-01 01:00:00","重庆","渝中",6
"98","2020-02-01 01:00:00","重庆","黔江",2
"99","2020-02-01 01:00:00","重庆","大渡口",6
"100","2020-02-01 01:00:00","重庆","江北",8
"101","2020-02-01 01:00:00","重庆","九龙坡",8
"102","2020-02-01 01:00:00","重庆","南岸",3
"103","2020-02-01 01:00:00","重庆","渝北",10
"104","2020-02-01 01:00:00","重庆","巴南",1
"105","2020-02-01 01:00:00","重庆","合川",6
"106","2020-02-01 01:00:00","重庆","永川",3
"107","2020-02-01 01:00:00","重庆","綦江",4
"108","2020-02-01 01:00:00","重庆","大足",4
"109","2020-02-01 01:00:00","重庆","璧山",6
"110","2020-02-01 01:00:00","重庆","铜梁",2
"111","2020-02-01 01:00:00","重庆","潼南",2
"112","2020-02-01 01:00:00","重庆","荣昌",1
"113","2020-02-01 01:00:00","重庆","开州",16
"114","2020-02-01 01:00:00","重庆","梁平",2
"115","2020-02-01 01:00:00","重庆","城口",1
"116","2020-02-01 01:00:00","重庆","丰都",3
"117","2020-02-01 01:00:00","重庆","垫江",8
"118","2020-02-01 01:00:00","重庆","忠县",12
"119","2020-02-01 01:00:00","重庆","云阳",15
"120","2020-02-01 01:00:00","重庆","奉节",5
"121","2020-02-01 01:00:00","重庆","巫山",6
"122","2020-02-01 01:00:00","重庆","巫溪",10
"123","2020-02-01 01:00:00","重庆","石柱",8
"124","2020-02-01 01:00:00","重庆","秀山",1
"125","2020-02-01 01:00:00","重庆","两江新区",9
"126","2020-02-01 01:00:00","安徽","阜阳",38
"127","2020-02-01 01:00:00","安徽","合肥",50
