"","time","provname","city","citypop","deathpop","curepop"
"1","2020-02-18 02:31:00","湖北","武汉",41152,1309,3507
"2","2020-02-18 02:31:00","湖北","黄冈",2831,78,839
"3","2020-02-18 02:31:00","湖北","孝感",3279,70,449
"4","2020-02-18 02:31:00","湖北","荆门",915,33,132
"5","2020-02-18 02:31:00","湖北","咸宁",861,10,181
"6","2020-02-18 02:31:00","湖北","荆州",1501,37,305
"7","2020-02-18 02:31:00","湖北","襄阳",1155,20,151
"8","2020-02-18 02:31:00","湖北","随州",1267,24,140
"9","2020-02-18 02:31:00","湖北","十堰",612,2,126
"10","2020-02-18 02:31:00","湖北","鄂州",1274,35,244
"11","2020-02-18 02:31:00","湖北","黄石",983,15,207
"12","2020-02-18 02:31:00","湖北","宜昌",895,24,156
"13","2020-02-18 02:31:00","湖北","恩施州",249,4,82
"14","2020-02-18 02:31:00","湖北","仙桃",531,19,107
"15","2020-02-18 02:31:00","湖北","天门",485,10,39
"16","2020-02-18 02:31:00","湖北","潜江",182,6,18
"17","2020-02-18 02:31:00","湖北","神农架林区",10,0,10
"18","2020-02-18 02:31:00","广东","深圳",415,2,152
"19","2020-02-18 02:31:00","广东","广州",339,0,131
"20","2020-02-18 02:31:00","广东","珠海",97,0,41
"21","2020-02-18 02:31:00","广东","佛山",84,0,23
"22","2020-02-18 02:31:00","广东","东莞",89,1,19
"23","2020-02-18 02:31:00","广东","中山",66,0,39
"24","2020-02-18 02:31:00","广东","惠州",58,0,34
"25","2020-02-18 02:31:00","广东","汕头",25,0,14
"26","2020-02-18 02:31:00","广东","江门",23,0,5
"27","2020-02-18 02:31:00","广东","湛江",22,0,11
"28","2020-02-18 02:31:00","广东","肇庆",17,1,8
"29","2020-02-18 02:31:00","广东","梅州",16,0,8
"30","2020-02-18 02:31:00","广东","阳江",13,0,9
"31","2020-02-18 02:31:00","广东","茂名",14,0,3
"32","2020-02-18 02:31:00","广东","清远",12,0,9
"33","2020-02-18 02:31:00","广东","揭阳",8,0,4
"34","2020-02-18 02:31:00","广东","韶关",10,0,4
"35","2020-02-18 02:31:00","广东","汕尾",5,0,2
"36","2020-02-18 02:31:00","广东","潮州",5,0,2
"37","2020-02-18 02:31:00","广东","河源",4,0,1
"38","2020-02-18 02:31:00","浙江","杭州",168,0,93
"39","2020-02-18 02:31:00","浙江","宁波",156,0,63
"40","2020-02-18 02:31:00","浙江","温州",503,0,194
"41","2020-02-18 02:31:00","浙江","湖州",10,0,5
"42","2020-02-18 02:31:00","浙江","嘉兴",43,0,13
"43","2020-02-18 02:31:00","浙江","绍兴",42,0,19
"44","2020-02-18 02:31:00","浙江","金华",55,0,30
"45","2020-02-18 02:31:00","浙江","衢州",21,0,10
"46","2020-02-18 02:31:00","浙江","舟山",10,0,5
"47","2020-02-18 02:31:00","浙江","台州",146,0,64
"48","2020-02-18 02:31:00","浙江","丽水",17,0,11
"49","2020-02-18 02:31:00","河南","信阳市",262,2,84
"50","2020-02-18 02:31:00","河南","南阳市",154,2,65
"51","2020-02-18 02:31:00","河南","郑州市",151,0,76
"52","2020-02-18 02:31:00","河南","驻马店市",138,0,75
"53","2020-02-18 02:31:00","河南","商丘市",91,3,46
"54","2020-02-18 02:31:00","河南","周口市",75,0,32
"55","2020-02-18 02:31:00","河南","平顶山市",58,1,24
"56","2020-02-18 02:31:00","河南","新乡市",57,2,21
"57","2020-02-18 02:31:00","河南","安阳市",51,0,24
"58","2020-02-18 02:31:00","河南","许昌市",38,0,11
"59","2020-02-18 02:31:00","河南","漯河市",34,0,12
"60","2020-02-18 02:31:00","河南","洛阳市",31,0,11
"61","2020-02-18 02:31:00","河南","焦作市",32,1,7
"62","2020-02-18 02:31:00","河南","开封市",26,0,8
"63","2020-02-18 02:31:00","河南","鹤壁市",19,0,5
"64","2020-02-18 02:31:00","河南","濮阳市",17,0,4
"65","2020-02-18 02:31:00","河南","三门峡市",7,0,4
"66","2020-02-18 02:31:00","河南","济源示范区",5,0,0
"67","2020-02-18 02:31:00","湖南","长沙市",241,1,92
"68","2020-02-18 02:31:00","湖南","衡阳市",48,0,28
"69","2020-02-18 02:31:00","湖南","株洲市",78,0,35
"70","2020-02-18 02:31:00","湖南","湘潭市",35,0,15
"71","2020-02-18 02:31:00","湖南","邵阳市",101,1,67
"72","2020-02-18 02:31:00","湖南","岳阳市",154,1,63
"73","2020-02-18 02:31:00","湖南","常德市",79,0,34
"74","2020-02-18 02:31:00","湖南","张家界市",5,0,5
"75","2020-02-18 02:31:00","湖南","益阳市",59,0,30
"76","2020-02-18 02:31:00","湖南","郴州市",39,0,26
"77","2020-02-18 02:31:00","湖南","永州市",43,0,30
"78","2020-02-18 02:31:00","湖南","怀化市",40,0,32
"79","2020-02-18 02:31:00","湖南","娄底市",76,0,35
"80","2020-02-18 02:31:00","湖南","湘西自治州",8,0,6
"81","2020-02-18 02:31:00","安徽","阜阳",153,0,41
"82","2020-02-18 02:31:00","安徽","合肥",171,1,49
"83","2020-02-18 02:31:00","安徽","马鞍山",36,0,12
"84","2020-02-18 02:31:00","安徽","芜湖",31,0,13
"85","2020-02-18 02:31:00","安徽","铜陵",28,0,11
"86","2020-02-18 02:31:00","安徽","安庆",83,0,34
"87","2020-02-18 02:31:00","安徽","亳州",108,0,35
"88","2020-02-18 02:31:00","安徽","黄山",9,0,1
"89","2020-02-18 02:31:00","安徽","滁州",13,0,7
"90","2020-02-18 02:31:00","安徽","六安",68,0,21
"91","2020-02-18 02:31:00","安徽","宿州",40,0,15
"92","2020-02-18 02:31:00","安徽","蚌埠",158,5,13
"93","2020-02-18 02:31:00","安徽","淮南",25,0,8
"94","2020-02-18 02:31:00","安徽","宣城",6,0,4
"95","2020-02-18 02:31:00","安徽","淮北",27,0,10
"96","2020-02-18 02:31:00","安徽","池州",17,0,6
"97","2020-02-18 02:31:00","四川","成都",140,3,53
"98","2020-02-18 02:31:00","四川","自贡",9,0,2
"99","2020-02-18 02:31:00","四川","攀枝花",13,0,10
"100","2020-02-18 02:31:00","四川","泸州",19,0,3
"101","2020-02-18 02:31:00","四川","德阳",17,0,1
"102","2020-02-18 02:31:00","四川","绵阳",22,0,9
"103","2020-02-18 02:31:00","四川","广元",6,0,3
"104","2020-02-18 02:31:00","四川","遂宁",17,0,9
"105","2020-02-18 02:31:00","四川","内江",22,0,6
"106","2020-02-18 02:31:00","四川","乐山",3,0,2
"107","2020-02-18 02:31:00","四川","南充",35,0,12
"108","2020-02-18 02:31:00","四川","宜宾",11,0,6
"109","2020-02-18 02:31:00","四川","广安",30,0,13
"110","2020-02-18 02:31:00","四川","达州",38,0,6
"111","2020-02-18 02:31:00","四川","巴中",24,0,3
"112","2020-02-18 02:31:00","四川","雅安",7,0,2
"113","2020-02-18 02:31:00","四川","眉山",8,0,2
"114","2020-02-18 02:31:00","四川","资阳",3,0,2
"115","2020-02-18 02:31:00","四川","阿坝州",1,0,1
"116","2020-02-18 02:31:00","四川","甘孜州",57,0,6
"117","2020-02-18 02:31:00","四川","凉山州",13,0,5
"118","2020-02-18 02:31:00","山东","济南",47,0,13
"119","2020-02-18 02:31:00","山东","青岛",57,1,26
"120","2020-02-18 02:31:00","山东","淄博",29,0,5
"121","2020-02-18 02:31:00","山东","枣庄",24,0,7
"122","2020-02-18 02:31:00","山东","烟台",47,0,13
"123","2020-02-18 02:31:00","山东","潍坊",44,0,10
"124","2020-02-18 02:31:00","山东","济宁",52,0,20
"125","2020-02-18 02:31:00","山东","泰安",32,0,6
"126","2020-02-18 02:31:00","山东","威海",38,0,9
"127","2020-02-18 02:31:00","山东","日照",16,0,3
"128","2020-02-18 02:31:00","山东","临沂",47,0,35
"129","2020-02-18 02:31:00","山东","德州",37,1,9
"130","2020-02-18 02:31:00","山东","聊城",38,0,12
"131","2020-02-18 02:31:00","山东","滨州",15,0,10
"132","2020-02-18 02:31:00","山东","菏泽",18,0,13
"133","2020-02-18 02:31:00","吉林","长春",45,0,19
"134","2020-02-18 02:31:00","吉林","四平",14,1,4
"135","2020-02-18 02:31:00","吉林","吉林",5,0,3
"136","2020-02-18 02:31:00","吉林","公主岭",6,0,2
"137","2020-02-18 02:31:00","吉林","白城",1,0,0
"138","2020-02-18 02:31:00","吉林","延边",5,0,2
"139","2020-02-18 02:31:00","吉林","辽源",7,0,1
"140","2020-02-18 02:31:00","吉林","松原",2,0,1
"141","2020-02-18 02:31:00","吉林","通化",3,0,1
"142","2020-02-18 02:31:00","吉林","梅河口",1,0,1
"143","2020-02-18 02:31:00","福建","福州",69,0,26
"144","2020-02-18 02:31:00","福建","莆田",55,0,17
"145","2020-02-18 02:31:00","福建","漳州",20,0,8
"146","2020-02-18 02:31:00","福建","泉州",46,0,13
"147","2020-02-18 02:31:00","福建","三明",14,0,3
"148","2020-02-18 02:31:00","福建","厦门",35,0,9
"149","2020-02-18 02:31:00","福建","南平",20,0,7
"150","2020-02-18 02:31:00","福建","龙岩",6,0,1
"151","2020-02-18 02:31:00","福建","宁德",25,0,6
"152","2020-02-18 02:31:00","江西","南昌",228,0,89
"153","2020-02-18 02:31:00","江西","赣州",76,1,18
"154","2020-02-18 02:31:00","江西","宜春",106,0,24
"155","2020-02-18 02:31:00","江西","九江",117,0,22
"156","2020-02-18 02:31:00","江西","抚州",72,0,22
"157","2020-02-18 02:31:00","江西","上饶",123,0,35
"158","2020-02-18 02:31:00","江西","新余",129,0,44
"159","2020-02-18 02:31:00","江西","吉安",21,0,10
"160","2020-02-18 02:31:00","江西","景德镇",6,0,3
"161","2020-02-18 02:31:00","江西","萍乡",33,0,5
"162","2020-02-18 02:31:00","江西","鹰潭",18,0,3
"163","2020-02-18 02:31:00","江西","赣江新区",1,0,0
"164","2020-02-18 02:31:00","江苏","南京",92,0,32
"165","2020-02-18 02:31:00","江苏","无锡",55,0,19
"166","2020-02-18 02:31:00","江苏","徐州",79,0,42
"167","2020-02-18 02:31:00","江苏","常州",49,0,20
"168","2020-02-18 02:31:00","江苏","苏州",86,0,31
"169","2020-02-18 02:31:00","江苏","南通",40,0,17
