"","time","provname","provpop","deathpop","curepop"
"1","2020-02-18 02:31:00","北京",381,4,114
"2","2020-02-18 02:31:00","湖北",58182,1696,6693
"3","2020-02-18 02:31:00","广东",1322,4,524
"4","2020-02-18 02:31:00","浙江",1171,0,507
"5","2020-02-18 02:31:00","河南",1246,16,509
"6","2020-02-18 02:31:00","湖南",1006,3,498
"7","2020-02-18 02:31:00","重庆",552,5,210
"8","2020-02-18 02:31:00","安徽",973,6,280
"9","2020-02-18 02:31:00","四川",495,3,156
"10","2020-02-18 02:31:00","山东",541,2,191
"11","2020-02-18 02:31:00","吉林",89,1,34
"12","2020-02-18 02:31:00","福建",290,0,90
"13","2020-02-18 02:31:00","江西",930,1,275
"14","2020-02-18 02:31:00","江苏",626,0,258
"15","2020-02-18 02:31:00","上海",332,1,161
"16","2020-02-18 02:31:00","广西",238,2,53
"17","2020-02-18 02:31:00","海南",163,4,59
"18","2020-02-18 02:31:00","陕西",240,0,79
"19","2020-02-18 02:31:00","河北",301,3,122
"20","2020-02-18 02:31:00","黑龙江",457,11,85
"21","2020-02-18 02:31:00","辽宁",121,1,43
"22","2020-02-18 02:31:00","云南",171,0,47
"23","2020-02-18 02:31:00","天津",125,3,46
"24","2020-02-18 02:31:00","山西",129,0,51
"25","2020-02-18 02:31:00","甘肃",91,2,58
"26","2020-02-18 02:31:00","内蒙古",72,0,8
"27","2020-02-18 02:31:00","台湾",22,1,2
"28","2020-02-18 02:31:00","澳门",10,0,5
"29","2020-02-18 02:31:00","香港",58,1,2
"30","2020-02-18 02:31:00","贵州",146,1,57
"31","2020-02-18 02:31:00","西藏",1,0,1
"32","2020-02-18 02:31:00","青海",18,0,13
"33","2020-02-18 02:31:00","新疆",75,1,12
"34","2020-02-18 02:31:00","宁夏",70,0,35
