"","time","provname","provpop","deathpop","curepop"
"1","2020-02-20 03:01:00","北京",393,4,145
"2","2020-02-20 03:01:00","湖北",61682,1921,9336
"3","2020-02-20 03:01:00","广东",1331,5,606
"4","2020-02-20 03:01:00","浙江",1174,0,604
"5","2020-02-20 03:01:00","河南",1262,19,573
"6","2020-02-20 03:01:00","湖南",1008,4,561
"7","2020-02-20 03:01:00","重庆",555,5,254
"8","2020-02-20 03:01:00","安徽",986,6,413
"9","2020-02-20 03:01:00","四川",514,3,188
"10","2020-02-20 03:01:00","山东",544,3,231
"11","2020-02-20 03:01:00","吉林",90,1,37
"12","2020-02-20 03:01:00","福建",293,0,112
"13","2020-02-20 03:01:00","江西",934,1,362
"14","2020-02-20 03:01:00","江苏",631,0,318
"15","2020-02-20 03:01:00","上海",333,2,186
"16","2020-02-20 03:01:00","广西",244,2,86
"17","2020-02-20 03:01:00","海南",168,4,84
"18","2020-02-20 03:01:00","陕西",242,0,102
"19","2020-02-20 03:01:00","河北",306,4,152
"20","2020-02-20 03:01:00","黑龙江",470,12,120
"21","2020-02-20 03:01:00","辽宁",121,1,55
"22","2020-02-20 03:01:00","云南",173,1,60
"23","2020-02-20 03:01:00","天津",130,3,54
"24","2020-02-20 03:01:00","山西",131,0,63
"25","2020-02-20 03:01:00","甘肃",91,2,65
"26","2020-02-20 03:01:00","内蒙古",75,0,10
"27","2020-02-20 03:01:00","台湾",24,1,2
"28","2020-02-20 03:01:00","澳门",10,0,6
"29","2020-02-20 03:01:00","香港",65,2,6
"30","2020-02-20 03:01:00","贵州",146,2,70
"31","2020-02-20 03:01:00","西藏",1,0,1
"32","2020-02-20 03:01:00","青海",18,0,16
"33","2020-02-20 03:01:00","新疆",76,1,20
"34","2020-02-20 03:01:00","宁夏",71,0,42
