"","name","r0_low","r0_high"
"1","武汉",2.77,3.2
"2","黄冈",2.39,2.72
"3","孝感",2.41,2.75
"4","荆门",2.15,2.41
"5","咸宁",2.1,2.35
"6","荆州",2.24,2.52
"7","襄阳",2.23,2.51
"8","随州",2.24,2.53
"9","十堰",2.08,2.33
"10","鄂州",2.11,2.37
"11","黄石",2.17,2.44
"12","宜昌",2.16,2.43
"13","恩施州",1.91,2.11
"14","仙桃",2.03,2.27
"15","天门",1.92,2.12
"16","潜江",1.77,1.94
"17","神农架林区",1.43,1.52
"18","广州",2.02,2.25
"19","深圳",2.05,2.29
"20","佛山",1.73,1.88
"21","珠海",1.77,1.94
"22","惠州",1.66,1.8
"23","中山",1.69,1.84
"24","阳江",1.48,1.58
"25","东莞",1.71,1.87
"26","湛江",1.54,1.65
"27","汕头",1.56,1.68
"28","清远",1.43,1.52
"29","揭阳",1.38,1.46
"30","肇庆",1.49,1.59
"31","韶关",1.35,1.43
"32","梅州",1.46,1.56
"33","茂名",1.35,1.43
"34","河源",1.19,1.22
"35","汕尾",1.32,1.39
"36","江门",1.45,1.54
"37","潮州",1.32,1.39
"38","杭州",1.91,2.11
"39","宁波",1.88,2.08
"40","温州",2.09,2.34
"41","湖州",1.42,1.5
"42","嘉兴",1.64,1.78
"43","绍兴",1.64,1.77
"44","金华",1.7,1.85
"45","衢州",1.5,1.61
"46","舟山",1.38,1.46
"47","台州",1.87,2.07
"48","丽水",1.51,1.62
"49","郑州市",1.85,2.03
"50","开封市",1.55,1.66
"51","洛阳市",1.58,1.7
"52","平顶山市",1.69,1.84
"53","安阳市",1.67,1.81
"54","鹤壁市",1.45,1.54
"55","新乡市",1.67,1.81
"56","焦作市",1.53,1.64
"57","濮阳市",1.32,1.39
"58","许昌市",1.6,1.73
"59","漯河市",1.59,1.72
"60","三门峡市",1.38,1.46
"61","南阳市",1.86,2.05
"62","商丘市",1.77,1.94
"63","信阳市",1.93,2.14
"64","周口市",1.74,1.9
"65","驻马店市",1.84,2.02
"66","济源示范区",1.29,1.35
"67","长沙市",1.94,2.15
"68","衡阳市",1.68,1.82
"69","株洲市",1.69,1.84
"70","湘潭市",1.59,1.71
"71","邵阳市",1.79,1.97
"72","岳阳市",1.84,2.02
"73","常德市",1.75,1.91
"74","张家界市",1.32,1.39
"75","益阳市",1.68,1.82
"76","郴州市",1.61,1.74
"77","永州市",1.66,1.8
"78","怀化市",1.66,1.8
"79","娄底市",1.71,1.87
"80","湘西自治州",1.4,1.48
"81","阜阳",1.84,2.02
"82","合肥",1.85,2.04
"83","马鞍山",1.62,1.75
"84","芜湖",1.6,1.73
"85","铜陵",1.56,1.68
"86","安庆",1.75,1.92
