"","time","city","citypop"
"1","2020-01-30 23:30:00","海淀区",24
"2","2020-01-30 23:30:00","怀柔区",1
"3","2020-01-30 23:30:00","丰台区",11
"4","2020-01-30 23:30:00","大兴区",10
"5","2020-01-30 23:30:00","东城区",2
"6","2020-01-30 23:30:00","昌平区",9
"7","2020-01-30 23:30:00","西城区",12
"8","2020-01-30 23:30:00","朝阳区",21
"9","2020-01-30 23:30:00","石景山区",2
"10","2020-01-30 23:30:00","通州区",8
"11","2020-01-30 23:30:00","顺义区",2
"12","2020-01-30 23:30:00","门头沟区",1
"13","2020-01-30 23:30:00","外来务工人员",11
"14","2020-01-30 23:30:00","武汉",2261
"15","2020-01-30 23:30:00","黄冈",496
"16","2020-01-30 23:30:00","孝感",399
"17","2020-01-30 23:30:00","荆门",191
"18","2020-01-30 23:30:00","咸宁",130
"19","2020-01-30 23:30:00","荆州",151
"20","2020-01-30 23:30:00","襄阳",163
"21","2020-01-30 23:30:00","随州",143
"22","2020-01-30 23:30:00","十堰",119
"23","2020-01-30 23:30:00","鄂州",123
"24","2020-01-30 23:30:00","黄石",113
"25","2020-01-30 23:30:00","宜昌",117
"26","2020-01-30 23:30:00","恩施州",66
"27","2020-01-30 23:30:00","仙桃",55
"28","2020-01-30 23:30:00","天门",44
"29","2020-01-30 23:30:00","潜江",10
"30","2020-01-30 23:30:00","神农架林区",5
"31","2020-01-30 23:30:00","广州",94
"32","2020-01-30 23:30:00","深圳",98
"33","2020-01-30 23:30:00","佛山",25
"34","2020-01-30 23:30:00","珠海",26
"35","2020-01-30 23:30:00","惠州",17
"36","2020-01-30 23:30:00","中山",18
"37","2020-01-30 23:30:00","阳江",10
"38","2020-01-30 23:30:00","东莞",11
"39","2020-01-30 23:30:00","湛江",11
"40","2020-01-30 23:30:00","汕头",12
"41","2020-01-30 23:30:00","清远",6
"42","2020-01-30 23:30:00","揭阳",6
"43","2020-01-30 23:30:00","肇庆",5
"44","2020-01-30 23:30:00","韶关",4
"45","2020-01-30 23:30:00","梅州",5
"46","2020-01-30 23:30:00","茂名",3
"47","2020-01-30 23:30:00","河源",1
"48","2020-01-30 23:30:00","汕尾",1
"49","2020-01-30 23:30:00","江门",1
"50","2020-01-30 23:30:00","杭州",69
"51","2020-01-30 23:30:00","宁波",41
"52","2020-01-30 23:30:00","温州",172
"53","2020-01-30 23:30:00","湖州",5
"54","2020-01-30 23:30:00","嘉兴",16
"55","2020-01-30 23:30:00","绍兴",19
"56","2020-01-30 23:30:00","金华",20
"57","2020-01-30 23:30:00","衢州",10
"58","2020-01-30 23:30:00","舟山",6
"59","2020-01-30 23:30:00","台州",64
"60","2020-01-30 23:30:00","丽水",6
"61","2020-01-30 23:30:00","郑州市",46
"62","2020-01-30 23:30:00","开封市",4
"63","2020-01-30 23:30:00","洛阳市",2
"64","2020-01-30 23:30:00","平顶山市",8
"65","2020-01-30 23:30:00","安阳市",16
"66","2020-01-30 23:30:00","鹤壁市",6
"67","2020-01-30 23:30:00","新乡市",11
"68","2020-01-30 23:30:00","焦作市",2
"69","2020-01-30 23:30:00","濮阳市",1
"70","2020-01-30 23:30:00","许昌市",3
"71","2020-01-30 23:30:00","漯河市",11
"72","2020-01-30 23:30:00","三门峡市",5
"73","2020-01-30 23:30:00","南阳市",51
"74","2020-01-30 23:30:00","商丘市",18
"75","2020-01-30 23:30:00","周口市",25
"76","2020-01-30 23:30:00","信阳市",42
"77","2020-01-30 23:30:00","驻马店市",25
"78","2020-01-30 23:30:00","滑县",1
"79","2020-01-30 23:30:00","长垣市",1
"80","2020-01-30 23:30:00","长沙市",57
"81","2020-01-30 23:30:00","衡阳市",20
"82","2020-01-30 23:30:00","株洲市",18
"83","2020-01-30 23:30:00","湘潭市",9
"84","2020-01-30 23:30:00","邵阳市",29
"85","2020-01-30 23:30:00","岳阳市",29
"86","2020-01-30 23:30:00","常德市",30
"87","2020-01-30 23:30:00","张家界市",1
"88","2020-01-30 23:30:00","益阳市",17
"89","2020-01-30 23:30:00","郴州市",10
"90","2020-01-30 23:30:00","永州市",14
"91","2020-01-30 23:30:00","怀化市",23
"92","2020-01-30 23:30:00","娄底市",16
"93","2020-01-30 23:30:00","湘西自治州",4
"94","2020-01-30 23:30:00","长寿",7
"95","2020-01-30 23:30:00","武隆",1
"96","2020-01-30 23:30:00","万州",24
"97","2020-01-30 23:30:00","江津",3
"98","2020-01-30 23:30:00","涪陵",1
"99","2020-01-30 23:30:00","渝中",5
"100","2020-01-30 23:30:00","黔江",1
"101","2020-01-30 23:30:00","大渡口",6
"102","2020-01-30 23:30:00","江北",8
"103","2020-01-30 23:30:00","九龙坡",5
"104","2020-01-30 23:30:00","南岸",2
"105","2020-01-30 23:30:00","渝北",8
"106","2020-01-30 23:30:00","巴南",1
"107","2020-01-30 23:30:00","合川",6
"108","2020-01-30 23:30:00","永川",3
"109","2020-01-30 23:30:00","綦江",4
"110","2020-01-30 23:30:00","大足",4
"111","2020-01-30 23:30:00","璧山",4
"112","2020-01-30 23:30:00","铜梁",2
"113","2020-01-30 23:30:00","潼南",2
"114","2020-01-30 23:30:00","开州",14
"115","2020-01-30 23:30:00","梁平",2
"116","2020-01-30 23:30:00","城口",1
"117","2020-01-30 23:30:00","丰都",3
"118","2020-01-30 23:30:00","垫江",8
"119","2020-01-30 23:30:00","忠县",12
"120","2020-01-30 23:30:00","云阳",13
"121","2020-01-30 23:30:00","奉节",4
"122","2020-01-30 23:30:00","巫山",5
"123","2020-01-30 23:30:00","巫溪",7
"124","2020-01-30 23:30:00","石柱",7
"125","2020-01-30 23:30:00","秀山",1
"126","2020-01-30 23:30:00","两江新区",8
"127","2020-01-30 23:30:00","阜阳",28
"128","2020-01-30 23:30:00","合肥",39
"129","2020-01-30 23:30:00","马鞍山",14
"130","2020-01-30 23:30:00","芜湖",14
"131","2020-01-30 23:30:00","铜陵",10
"132","2020-01-30 23:30:00","安庆",18
"133","2020-01-30 23:30:00","亳州",20
"134","2020-01-30 23:30:00","黄山",7
"135","2020-01-30 23:30:00","宿松",6
"136","2020-01-30 23:30:00","滁州",4
"137","2020-01-30 23:30:00","六安",8
"138","2020-01-30 23:30:00","宿州",10
"139","2020-01-30 23:30:00","蚌埠",8
"140","2020-01-30 23:30:00","淮南",6
"141","2020-01-30 23:30:00","宣城",4
"142","2020-01-30 23:30:00","淮北",2
"143","2020-01-30 23:30:00","池州",2
"144","2020-01-30 23:30:00","成都",59
"145","2020-01-30 23:30:00","绵阳",9
"146","2020-01-30 23:30:00","南充",9
"147","2020-01-30 23:30:00","广安",9
"148","2020-01-30 23:30:00","自贡",7
"149","2020-01-30 23:30:00","达州",6
"150","2020-01-30 23:30:00","泸州",5
"151","2020-01-30 23:30:00","宜宾",5
"152","2020-01-30 23:30:00","甘孜州",5
"153","2020-01-30 23:30:00","遂宁",4
"154","2020-01-30 23:30:00","内江",4
"155","2020-01-30 23:30:00","巴中",4
"156","2020-01-30 23:30:00","德阳",3
"157","2020-01-30 23:30:00","广元",3
"158","2020-01-30 23:30:00","乐山",2
"159","2020-01-30 23:30:00","雅安",2
"160","2020-01-30 23:30:00","眉山",2
"161","2020-01-30 23:30:00","资阳",2
"162","2020-01-30 23:30:00","凉山州",2
"163","2020-01-30 23:30:00","济南",14
"164","2020-01-30 23:30:00","青岛",21
"165","2020-01-30 23:30:00","淄博",8
"166","2020-01-30 23:30:00","枣庄",9
"167","2020-01-30 23:30:00","烟台",13
"168","2020-01-30 23:30:00","潍坊",7
"169","2020-01-30 23:30:00","济宁",8
"170","2020-01-30 23:30:00","泰安",3
"171","2020-01-30 23:30:00","威海",14
"172","2020-01-30 23:30:00","日照",9
"173","2020-01-30 23:30:00","临沂",16
"174","2020-01-30 23:30:00","德州",15
"175","2020-01-30 23:30:00","聊城",5
"176","2020-01-30 23:30:00","滨州",9
"177","2020-01-30 23:30:00","菏泽",7
"178","2020-01-30 23:30:00","长春",4
"179","2020-01-30 23:30:00","吉林",3
"180","2020-01-30 23:30:00","松原",2
"181","2020-01-30 23:30:00","四平",1
"182","2020-01-30 23:30:00","公主岭",1
"183","2020-01-30 23:30:00","通化",1
"184","2020-01-30 23:30:00","延边",2
"185","2020-01-30 23:30:00","福州",30
"186","2020-01-30 23:30:00","莆田",17
"187","2020-01-30 23:30:00","漳州",7
"188","2020-01-30 23:30:00","泉州",18
"189","2020-01-30 23:30:00","三明",10
"190","2020-01-30 23:30:00","厦门",7
"191","2020-01-30 23:30:00","南平",3
"192","2020-01-30 23:30:00","龙岩",1
"193","2020-01-30 23:30:00","宁德",8
"194","2020-01-30 23:30:00","南昌",46
"195","2020-01-30 23:30:00","赣州",21
"196","2020-01-30 23:30:00","宜春",14
"197","2020-01-30 23:30:00","九江",31
"198","2020-01-30 23:30:00","抚州",13
"199","2020-01-30 23:30:00","上饶",11
"200","2020-01-30 23:30:00","新余",11
"201","2020-01-30 23:30:00","吉安",5
"202","2020-01-30 23:30:00","景德镇",2
"203","2020-01-30 23:30:00","萍乡",5
"204","2020-01-30 23:30:00","鹰潭",3
"205","2020-01-30 23:30:00","南京",19
"206","2020-01-30 23:30:00","无锡",10
"207","2020-01-30 23:30:00","徐州",15
"208","2020-01-30 23:30:00","常州",10
"209","2020-01-30 23:30:00","苏州",24
"210","2020-01-30 23:30:00","南通",9
"211","2020-01-30 23:30:00","连云港",6
"212","2020-01-30 23:30:00","淮安",7
"213","2020-01-30 23:30:00","盐城",6
"214","2020-01-30 23:30:00","扬州",8
"215","2020-01-30 23:30:00","镇江",2
"216","2020-01-30 23:30:00","泰州",9
"217","2020-01-30 23:30:00","宿迁",4
"218","2020-01-30 23:30:00","外地来沪人员",51
"219","2020-01-30 23:30:00","浦东",17
"220","2020-01-30 23:30:00","静安",8
"221","2020-01-30 23:30:00","长宁",5
"222","2020-01-30 23:30:00","奉贤",5
"223","2020-01-30 23:30:00","徐汇",5
"224","2020-01-30 23:30:00","闵行",4
"225","2020-01-30 23:30:00","青浦",2
"226","2020-01-30 23:30:00","虹口",2
"227","2020-01-30 23:30:00","黄浦",4
"228","2020-01-30 23:30:00","宝山",2
"229","2020-01-30 23:30:00","嘉定",2
"230","2020-01-30 23:30:00","金山",1
"231","2020-01-30 23:30:00","松江",3
"232","2020-01-30 23:30:00","杨浦",1
"233","2020-01-30 23:30:00","桂林",18
"234","2020-01-30 23:30:00","北海",15
"235","2020-01-30 23:30:00","南宁",15
"236","2020-01-30 23:30:00","柳州",10
"237","2020-01-30 23:30:00","防城港",5
"238","2020-01-30 23:30:00","梧州",4
"239","2020-01-30 23:30:00","河池",5
"240","2020-01-30 23:30:00","百色",2
"241","2020-01-30 23:30:00","玉林",2
"242","2020-01-30 23:30:00","钦州",1
"243","2020-01-30 23:30:00","贺州",1
"244","2020-01-30 23:30:00","海口",9
"245","2020-01-30 23:30:00","三亚",14
"246","2020-01-30 23:30:00","儋州",5
"247","2020-01-30 23:30:00","万宁",8
"248","2020-01-30 23:30:00","琼海",4
"249","2020-01-30 23:30:00","东方",1
"250","2020-01-30 23:30:00","临高",1
"251","2020-01-30 23:30:00","定安",1
"252","2020-01-30 23:30:00","昌江",1
"253","2020-01-30 23:30:00","澄迈",2
"254","2020-01-30 23:30:00","陵水",2
"255","2020-01-30 23:30:00","琼中",1
"256","2020-01-30 23:30:00","西安",22
"257","2020-01-30 23:30:00","安康",10
"258","2020-01-30 23:30:00","铜川",5
"259","2020-01-30 23:30:00","咸阳",5
"260","2020-01-30 23:30:00","汉中",6
"261","2020-01-30 23:30:00","渭南",4
"262","2020-01-30 23:30:00","宝鸡",4
"263","2020-01-30 23:30:00","延安",3
"264","2020-01-30 23:30:00","商洛",2
"265","2020-01-30 23:30:00","榆林",1
"266","2020-01-30 23:30:00","韩城",1
"267","2020-01-30 23:30:00","石家庄",11
"268","2020-01-30 23:30:00","廊坊",9
"269","2020-01-30 23:30:00","沧州",12
"270","2020-01-30 23:30:00","邯郸",6
"271","2020-01-30 23:30:00","保定",7
"272","2020-01-30 23:30:00","邢台",5
"273","2020-01-30 23:30:00","衡水",4
"274","2020-01-30 23:30:00","承德",2
"275","2020-01-30 23:30:00","唐山",3
"276","2020-01-30 23:30:00","张家口",6
"277","2020-01-30 23:30:00","哈尔滨",13
"278","2020-01-30 23:30:00","齐齐哈尔",3
"279","2020-01-30 23:30:00","牡丹江",1
"280","2020-01-30 23:30:00","佳木斯",5
"281","2020-01-30 23:30:00","大庆",5
"282","2020-01-30 23:30:00","鸡西",1
"283","2020-01-30 23:30:00","双鸭山",1
"284","2020-01-30 23:30:00","七台河",2
"285","2020-01-30 23:30:00","绥化",10
"286","2020-01-30 23:30:00","鹤岗",1
"287","2020-01-30 23:30:00","大兴安岭",1
"288","2020-01-30 23:30:00","沈阳",9
"289","2020-01-30 23:30:00","大连",5
"290","2020-01-30 23:30:00","丹东",5
"291","2020-01-30 23:30:00","锦州",4
"292","2020-01-30 23:30:00","朝阳",4
"293","2020-01-30 23:30:00","葫芦岛",4
"294","2020-01-30 23:30:00","铁岭",2
"295","2020-01-30 23:30:00","本溪",3
"296","2020-01-30 23:30:00","盘锦",3
"297","2020-01-30 23:30:00","辽阳",1
"298","2020-01-30 23:30:00","营口",1
"299","2020-01-30 23:30:00","昆明",21
"300","2020-01-30 23:30:00","丽江",6
"301","2020-01-30 23:30:00","保山",5
"302","2020-01-30 23:30:00","德宏州",2
"303","2020-01-30 23:30:00","西双版纳",10
"304","2020-01-30 23:30:00","曲靖",5
"305","2020-01-30 23:30:00","玉溪",6
"306","2020-01-30 23:30:00","红河州",4
"307","2020-01-30 23:30:00","大理",4
"308","2020-01-30 23:30:00","昭通",4
"309","2020-01-30 23:30:00","普洱",3
"310","2020-01-30 23:30:00","河北区",8
"311","2020-01-30 23:30:00","河东区",5
"312","2020-01-30 23:30:00","外地来津",4
"313","2020-01-30 23:30:00","河西区",3
"314","2020-01-30 23:30:00","南开区",2
"315","2020-01-30 23:30:00","西青区",2
"316","2020-01-30 23:30:00","和平区",3
"317","2020-01-30 23:30:00","红桥区",2
"318","2020-01-30 23:30:00","滨海新区",2
"319","2020-01-30 23:30:00","太原",3
"320","2020-01-30 23:30:00","朔州",3
"321","2020-01-30 23:30:00","晋中",9
"322","2020-01-30 23:30:00","运城",7
"323","2020-01-30 23:30:00","阳泉",1
"324","2020-01-30 23:30:00","大同",4
"325","2020-01-30 23:30:00","长治",3
"326","2020-01-30 23:30:00","临汾",1
"327","2020-01-30 23:30:00","吕梁",4
"328","2020-01-30 23:30:00","张掖",2
"329","2020-01-30 23:30:00","陇南",1
"330","2020-01-30 23:30:00","金昌",1
"331","2020-01-30 23:30:00","天水",2
"332","2020-01-30 23:30:00","平凉",1
"333","2020-01-30 23:30:00","兰州",14
"334","2020-01-30 23:30:00","临夏",2
"335","2020-01-30 23:30:00","定西",2
"336","2020-01-30 23:30:00","白银",1
"337","2020-01-30 23:30:00","呼和浩特",2
"338","2020-01-30 23:30:00","包头",3
"339","2020-01-30 23:30:00","呼伦贝尔",2
"340","2020-01-30 23:30:00","兴安盟",1
"341","2020-01-30 23:30:00","通辽",1
"342","2020-01-30 23:30:00","赤峰",2
"343","2020-01-30 23:30:00","锡林郭勒",2
"344","2020-01-30 23:30:00","鄂尔多斯",3
"345","2020-01-30 23:30:00","巴彦淖尔",2
"346","2020-01-30 23:30:00","铜仁",2
"347","2020-01-30 23:30:00","黔东南州",1
"348","2020-01-30 23:30:00","遵义",1
"349","2020-01-30 23:30:00","贵阳",1
"350","2020-01-30 23:30:00","六盘水",1
"351","2020-01-30 23:30:00","毕节",1
"352","2020-01-30 23:30:00","黔南州",4
"353","2020-01-30 23:30:00","黔西南州",1
"354","2020-01-30 23:30:00","西宁",8
"355","2020-01-30 23:30:00","乌鲁木齐",7
"356","2020-01-30 23:30:00","伊犁州",4
"357","2020-01-30 23:30:00","吐鲁番",1
"358","2020-01-30 23:30:00","第七师",1
"359","2020-01-30 23:30:00","石河子",1
