"","date","cn_conNum","cn_deathNum","cn_cureNum","cn_susNum","is_show","wjw_susNum","wuhan_conNum","wuhan_deathNum","wuhan_cureNum","wuhan_susNum"
"1",2020-02-25,78190,2718,29775,2491,"true","439","47441","2085","11793",NA
"2",2020-02-24,77779,2666,27353,2824,"true","530","47071","2043","10337",NA
"3",2020-02-23,77262,2595,24757,3434,"true","620","35674","1987","8946","318"
"4",2020-02-22,76846,2445,22907,4148,"true","882","46201","1856","8171",NA
"5",2020-02-21,76392,2348,20673,5365,"true","1361","45660","1774","7206",NA
"6",2020-02-20,75993,2239,18266,5206,"true","1614","45346","1684","6214",NA
"7",2020-02-19,74675,2121,16168,4922,"true","1277","45027","1585","5448",NA
"8",2020-02-18,74279,2006,14387,5248,"true","1185","44412","1497","4895",NA
"9",2020-02-17,72528,1870,12561,6242,"true","1432","42752","1381","3507",NA
"10",2020-02-16,70635,1772,10853,7264,"true","1563","41152","1309","2925",NA
"11",2020-02-15,68584,1666,9425,8228,"true","1918","39462","1233","2915","2168"
"12",2020-02-14,66576,1524,8101,8969,"true","2277","37914","1123","2023",NA
"13",2020-02-13,63932,1381,6728,10109,"true","2450","32959","1016","2016","2585"
"14",2020-02-12,59882,1368,5915,13485,"true","2807","32994","1036","1380",NA
"15",2020-02-11,44730,1114,4742,16067,"true","3342","19558","820","1242",NA
"16",2020-02-10,42708,1017,3998,21675,"true","3536","18454","748","1052",NA
"17",2020-02-09,40235,909,3283,23589,"true","4008","16902","681","879",NA
"18",2020-02-08,37251,812,2651,28942,"true","3916","14982","608","747",NA
"19",2020-02-07,34598,723,2052,27657,"true","4214","13603","545","698",NA
"20",2020-02-06,31211,637,1542,26359,"true","4833","11618","478","459",NA
"21",2020-02-05,28060,564,1153,24702,"true","5328","10117","414","431",NA
"22",2020-02-04,24363,491,892,23260,"true","3971","8351","362","368",NA
"23",2020-02-03,20471,425,632,23214,"true","5072","6384","313","317",NA
"24",2020-02-02,17238,361,475,21558,"true","5173","5142","265","215",NA
"25",2020-02-01,14411,304,328,19544,"true","4562","4109","224","171",NA
"26",2020-01-31,11821,259,243,17988,"true","5019","3215","192","139",NA
"27",2020-01-30,9720,213,171,15238,"true","4812","2639","159","103",NA
"28",2020-01-29,7736,170,124,12167,"true","4148","2261","129","82",NA
"29",2020-01-28,5974,132,103,9239,"true","3248","1905","104","75",NA
"30",2020-01-27,4515,106,60,6973,"true","2077","1590","85","42",NA
"31",2020-01-26,2744,80,51,5794,"true","3806","698","63","42",NA
"32",2020-01-25,1975,56,49,2684,"true","1309","618","45","40",NA
"33",2020-01-24,1287,41,38,1965,"true","680","572","38","32",NA
"34",2020-01-23,830,25,34,1072,"true","257","495","7","30",NA
"35",2020-01-22,571,17,30,348,"true","257","365","7","30",NA
"36",2020-01-21,440,9,25,91,"true","91","303","7","25",NA
"37",2020-01-20,258,6,25,54,"true","54","258","6","25",NA
"38",2020-01-19,198,4,25,NA,"true",NA,"198","4","25",NA
"39",2020-01-18,121,3,24,NA,"false",NA,"121","3","24",NA
"40",2020-01-17,62,2,19,NA,"false",NA,"62","2","19",NA
"41",2020-01-16,45,2,7,NA,"false",NA,"45","2","7",NA
"42",2020-01-15,41,1,7,NA,"false",NA,"41","1","7",NA
"43",2020-01-14,41,1,7,NA,"false",NA,"41","1","7",NA
"44",2020-01-13,41,1,7,NA,"false",NA,"41","1","7",NA
"45",2020-01-12,41,1,6,NA,"false",NA,"41","1","6",NA
"46",2020-01-11,41,1,2,NA,"false",NA,"41","1","2",NA
